Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	48	1475.74	17.64	1920.2	4.94	25.12	2975.06	0.011812130870910284	50.0	13.801928780714116	4.786936591610062
red	49	4976.672413793103	53.66379310344828	7739.663793103448	34.10344827586207	548.4181034482758	3841.189655172414	0.010668033088896849	232.0	43.293710063668094	7.535435634867431
red	50	3029.4931506849316	601.7123287671233	4813.821917808219	16.78082191780822	462.0	3636.095890410959	0.16570594315635398	73.0	25.180216893918185	4.8374425646324
red	51	4627.744525547445	51.722627737226276	4602.094890510949	28.759124087591243	309.7226277372263	4482.204379562044	0.01105310199707684	137.0	25.746915316194325	7.014387477440108
red	52	4205.122222222222	45.77777777777778	5306.4	73.9	464.43333333333334	4712.055555555556	0.010768961344133661	90.0	16.732725846614752	6.985422868775448
red	53	6230.538461538462	1191.9358974358975	9055.935897435897	75.25641025641026	755.5384615384615	5909.0	0.16058471067599614	78.0	14.468864818204446	6.912319147777448
red	54	4914.269565217392	54.19130434782609	6554.139130434783	15.747826086956522	501.0173913043478	4526.104347826087	0.01090706071165421	115.0	22.186383236103325	7.266195263530127
red	55	4532.684210526316	58.41520467836257	5949.309941520468	24.339181286549707	433.3625730994152	4239.111111111111	0.012723576510868983	171.0	23.802054403833836	9.321946274123212
red	56	2374.3518518518517	33.657407407407405	3178.564814814815	6.5	33.18055555555556	3230.2638888888887	0.01397727491204122	216.0	39.59328321860853	7.2059534309462965
red	57	4666.814814814815	799.824074074074	6896.87037037037	36.69444444444444	538.8796296296297	4453.324074074074	0.14631002528806888	108.0	20.93554509227437	6.776001769086902
red	58	1491.9277108433735	16.373493975903614	1712.5903614457832	5.795180722891566	19.783132530120483	3611.4457831325303	0.01085558635343361	83.0	22.96810548616962	4.775633284775361
red	59	6273.645161290323	1003.0645161290323	7634.854838709677	36.395161290322584	535.8548387096774	5385.274193548387	0.1378458892267863	124.0	22.509383111126343	7.193395973377047
red	60	3988.212121212121	664.7272727272727	6815.2	22.145454545454545	435.72727272727275	3805.0363636363636	0.14286179475991065	165.0	30.997445685405527	7.3781410398821095
red	61	3316.362068965517	294.2155172413793	4483.2844827586205	14.956896551724139	182.07758620689654	3005.3706896551726	0.08148710565460202	116.0	21.035011441036055	7.254282017366822
red	62	5957.74375	1184.40625	6728.59375	57.35	670.89375	5532.375	0.1658332924959571	160.0	30.617855467835817	6.8985996079433844
red	63	5632.678832116789	81.74452554744525	5452.890510948905	43.14598540145985	34.277372262773724	4822.664233576642	0.014304947399077249	137.0	25.285849989894142	7.040680291092756
red	64	4443.305309734514	52.758849557522126	4794.0	7.004424778761062	25.384955752212388	3541.0575221238937	0.011734452109293232	452.0	41.30896093205342	14.44199552322263
red	65	4854.701492537313	938.8059701492538	7786.082089552238	26.455223880597014	640.3358208955224	4551.417910447762	0.16204449138897117	134.0	24.67486149573013	7.224401462003614
red	66	2548.9268292682927	223.3170731707317	3710.170731707317	9.804878048780488	182.26829268292684	2951.439024390244	0.08055462687617673	41.0	7.852294988432735	6.551856932831537
red	67	2075.9333333333334	53.93333333333333	2109.5666666666666	7.766666666666667	47.43333333333333	4270.066666666667	0.02532239889820959	30.0	6.970732071155438	5.53574294451256
