Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	STDEV_12C	STDEV_13C	STDEV_18O	STDEV_14N_12C	STDEV_28Si	STDEV_31P	STDEV_32S	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	11	690.1553398058253	7.058252427184466	23.776699029126213	2808.5242718446602	131.64077669902912	25.45631067961165	309.126213592233	4420.747572815534	8.453537575260853	0.24400638589495277	0.42915082274359523	36.04261374528097	1.3414127389757997	0.47776001577765514	2.3730935757700355	29.861021339327454	0.010123515240973083	103.0	19.636145652461035	6.839533338180259
red	12	458.94736842105266	4.921052631578948	18.289473684210527	1032.657894736842	93.26315789473684	20.657894736842106	177.6315789473684	2948.2368421052633	5.471906007774979	0.33366424261060573	0.7099489805874628	11.184134756138972	2.041699705566315	0.6459723026375779	2.5945876578848077	14.471025316085587	0.010608725251035343	38.0	7.455128930368747	6.407232755171875
red	13	265.625	3.0416666666666665	24.375	795.9583333333334	82.58333333333333	31.333333333333332	645.625	4149.916666666667	4.987419067847952	0.3655245786436155	0.7284222390436288	6.608464470815973	2.7480527617717754	0.8305509104292252	29.814636395615793	59.497517357947466	0.011321339950372208	24.0	5.8870219666761265	5.194406727698711
red	14	863.927536231884	8.289855072463768	23.028985507246375	1510.6376811594203	135.46376811594203	9.043478260869565	799.2753623188406	5366.913043478261	21.617974648665548	0.3706868170730638	0.7799124285022142	14.104628549874246	3.484208665273259	0.330761840817176	20.135456892331938	90.04774280164762	0.00950434508083678	69.0	13.257221867897316	6.713188832751343
red	15	269.53333333333336	2.566666666666667	28.1	788.4	150.8	41.93333333333333	210.8	4509.266666666666	3.2926629997055015	0.2480292694794679	1.1068975662735112	16.561374070743984	4.399595941043272	1.3743146440101484	4.588003681098979	36.86675507323135	0.009432806566213403	30.0	6.516079096816647	6.006907309610442
red	16	245.2608695652174	1.4782608695652173	18.304347826086957	479.1304347826087	58.130434782608695	21.17391304347826	128.04347826086956	3014.7391304347825	5.7286522896725955	0.24494561888186311	0.7260603551719007	11.832687471931989	2.1034712042462	0.8512243465385909	2.397602978204433	20.7638825395101	0.0059911894273127755	23.0	6.89753839674296	4.227973498813158
red	17	321.21875	3.125	16.96875	396.40625	37.3125	12.96875	70.09375	2703.125	5.12075555471767	0.2642427269576213	0.5871082054629069	2.7754009335223757	1.0216766818262517	0.5439374227996038	1.4302530472950843	14.981743447234368	0.009634839579920994	32.0	7.394051427729846	5.52832510658393
red	18	1519.7142857142858	15.446428571428571	22.982142857142858	1882.482142857143	161.91071428571428	10.517857142857142	541.9464285714286	3903.839285714286	32.62346753658764	0.5242339180191885	0.7903641111582669	28.550561476655563	3.2825369716853228	0.36769333335086535	10.605080957690474	52.175104856891515	0.010061766450697344	56.0	9.141417866564337	7.817809978392038
red	19	364.45	3.2	17.9	383.95	64.25	16.1	67.3	3092.8	5.649103911241145	0.3781534080237807	0.7902531240052139	6.0952748092272255	1.9246752972904289	0.685200700525036	1.7650779019635363	19.869398581738704	0.008703930368557052	20.0	6.425028696471611	3.9394169936065797
red	20	267.3	2.56	29.86	877.32	310.54	7.7	206.0	3348.28	3.428031505106101	0.20230669786242858	0.8537025243022304	6.854805030050088	6.274660787644221	0.3140063693621516	2.452427368955093	32.3873931028726	0.009486400355740013	50.0	9.73242004847715	6.511528238439882
red	21	473.60869565217394	5.260869565217392	20.108695652173914	869.7391304347826	60.67391304347826	26.217391304347824	133.7391304347826	3339.804347826087	6.668102431623938	0.2808217461795144	0.5859316824935171	10.08163440849305	1.1613882361193009	0.7435374013334641	1.6023478705068572	47.430544380512586	0.010986017795532958	46.0	9.640016688669208	6.08323976434095
red	22	367.2795698924731	3.881720430107527	16.526881720430108	460.93548387096774	47.29032258064516	20.763440860215052	106.68817204301075	3467.1505376344085	3.96563937622289	0.19992452175341843	0.5381914099293049	23.209197598172715	3.1436704727065283	1.2249948123620273	6.395472197618101	66.74381756102328	0.01045831160553914	93.0	14.828985170506483	8.001728831961154
red	23	635.4736842105264	7.315789473684211	23.236842105263158	1440.0	124.71052631578948	15.81578947368421	348.36842105263156	3375.4736842105262	10.50278533443911	0.37421249380986726	0.8547036311657166	24.48491536298237	6.1363667657762315	0.7561889275336607	5.41074915737997	72.22104358772742	0.011381314992221404	38.0	7.455128930368747	6.407232755171875
red	24	477.45762711864404	4.627118644067797	22.74576271186441	752.5762711864406	83.32203389830508	24.983050847457626	173.57627118644066	3913.4576271186443	6.973925337085158	0.26026559819867534	0.778404743346063	20.703266036661752	2.720583512740198	0.7389875312505017	4.441984759837074	47.536528369928725	0.009598143655732517	59.0	9.398191962756338	8.078207775362085
red	25	205.6969696969697	1.9696969696969697	17.393939393939394	205.15151515151516	23.151515151515152	7.181818181818182	57.96969696969697	3255.878787878788	2.923727336794092	0.29531029418697546	0.6909348665306188	2.8079387693562725	0.8098580089824202	0.4604755505983892	1.4440815844548767	10.741879934558959	0.009484897125346564	33.0	8.372143871642557	4.996688381265987
red	26	725.625	6.475	13.425	398.65	50.625	3.25	68.1	2725.775	15.029790729581034	0.4092485491727491	0.5544000135281384	5.850699744475014	1.6787970023204113	0.23651109910530624	1.8590320061795604	24.0665090816055	0.008844420161180167	40.0	7.905913594891791	6.371540648077604
red	27	346.52054794520546	3.684931506849315	18.726027397260275	421.6575342465753	41.534246575342465	28.945205479452056	90.75342465753425	3986.671232876712	5.578122210645836	0.22993852526311315	0.6487021770680164	13.124477584657434	1.961640218847667	1.550536128559066	3.866984300702481	74.49938018961946	0.010522198318012908	73.0	13.898976726735741	6.886358710200632
red	28	469.3235294117647	4.5	18.5	513.7058823529412	69.82352941176471	16.764705882352942	99.5	3672.3529411764707	9.3004186187954	0.3091734712004211	0.7992751906883053	5.372383794258457	2.5062104826023783	0.834028477281164	2.6205370695473804	39.27929630553078	0.009497206703910615	34.0	12.4994117508644	3.7240451273751565
red	29	2386.1710526315787	24.289473684210527	25.11842105263158	1543.3157894736842	108.69736842105263	48.64473684210526	327.5	5684.315789473684	50.84114970006829	0.7365638077536459	0.523005082410157	34.05191068608893	3.0952682443443753	0.9527813104501375	6.405976152852437	25.183338890255726	0.010076694232921204	76.0	14.620180639649837	6.715295481977576
red	30	343.10526315789474	3.210526315789474	9.0	490.63157894736844	8.947368421052632	1.894736842105263	124.73684210526316	2388.5263157894738	8.607442098782295	0.404811418551392	0.9146393261569877	10.717787665603513	0.7196247260334412	0.24567998059436816	3.4229485477378567	16.302943741296247	0.009270516717325228	19.0	6.27506632630675	3.833479458809703
red	31	339.87012987012986	3.5714285714285716	13.142857142857142	282.6753246753247	36.72727272727273	10.87012987012987	44.103896103896105	3296.5844155844156	7.072221000746782	0.24326209132591856	0.37939610149074265	4.605665827994604	1.021713389610717	0.43008416586602244	1.1396922552582798	13.01506516637505	0.010398941198714312	77.0	14.580211015316372	6.869504326392202
red	32	2223.182926829268	21.634146341463413	25.682926829268293	2075.4024390243903	97.47560975609755	54.207317073170735	393.5731707317073	3786.4146341463415	26.769529545560832	0.5589869829357368	0.5954112773262759	25.439023570353434	1.6456842057284158	0.9726690137833099	4.885209088963602	14.856831644927944	0.009637376069536874	82.0	11.664252805463441	9.237300303698492
red	33	649.8611111111111	7.041666666666667	22.51388888888889	813.3611111111111	151.15277777777777	23.708333333333332	132.19444444444446	4391.763888888889	10.719420790398082	0.3259823117787108	0.523370876055027	19.409892968395827	3.7575366509132153	0.6071327256909631	3.253537894445038	46.89913778959308	0.010719495951117408	72.0	14.031913594806449	6.550174317064799
red	34	146.0952380952381	1.1428571428571428	15.166666666666666	165.1904761904762	18.452380952380953	2.261904761904762	24.523809523809526	3111.595238095238	4.5077169311922	0.15638862493296124	0.529103835968502	2.239168459814137	0.6053450328445321	0.22852063872596526	0.6959863025782369	11.091919569317584	0.007761966364812419	42.0	10.605577288245609	5.205326745572616
red	35	812.0694444444445	8.11111111111111	30.86111111111111	1099.388888888889	278.18055555555554	39.93055555555556	238.44444444444446	7106.347222222223	15.308836187895283	0.3410877862295161	0.8075419846220367	16.79861605525116	12.0211575055604	1.0583527245396342	3.66423998448835	198.52198287614905	0.009889421367246371	72.0	13.499037168359157	6.83816959635344
red	36	739.3846153846154	7.230769230769231	33.61538461538461	1074.6923076923076	216.23076923076923	45.53846153846154	249.07692307692307	7533.153846153846	10.153274593918827	0.5225894003744288	1.2640651562172316	24.300678712534964	8.799090137926093	1.6437354352681337	5.473692618193923	138.28414589831868	0.009684731094168555	26.0	8.660022083573166	3.8227588163061506
red	37	776.2857142857143	7.5	27.535714285714285	1154.7142857142858	172.75	42.392857142857146	248.17857142857142	5667.607142857143	13.771908070236446	0.5635619227878392	0.8260462488552403	13.120016754949125	9.911550801247719	2.077171402408916	6.456892688625065	121.04903226570443	0.009568941948418846	28.0	9.92544408896359	3.7492650224125623
red	38	665.2692307692307	6.846153846153846	27.153846153846153	1347.5	264.0	34.96153846153846	230.30769230769232	5501.5	10.670364546867203	0.45408177616448925	1.1275100961149516	27.21594827002518	7.781216953543097	1.3014338578973448	5.2326832558000556	104.75261432107837	0.010185979971387697	26.0	9.217806267748816	3.676581933106125
