,gas,retention_time,peak_area,peak_height,correction_factor,file_number,file_name,sample_type,column,carrier
2,C02,2.801,1345.0394,142.021,0.1723,8,data/gc_data/2024-02-28/28FEB24_TAC_FID_28.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.390,956.2222,199.344,0.0366,9,data/gc_data/2024-02-28/28FEB24_TAC_FID_29.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.950,987.5958,184.598,0.0358,9,data/gc_data/2024-02-28/28FEB24_TAC_FID_29.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.805,819.8853,110.739,0.1050,9,data/gc_data/2024-02-28/28FEB24_TAC_FID_29.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.389,979.3385,164.561,0.0375,10,data/gc_data/2024-02-28/28FEB24_TAC_FID_15.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.949,1006.6853,159.709,0.0365,10,data/gc_data/2024-02-28/28FEB24_TAC_FID_15.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.803,837.4515,101.721,0.1073,10,data/gc_data/2024-02-28/28FEB24_TAC_FID_15.RES,1pc_mix_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.383,142.9266,34.258,0.0055,11,data/gc_data/2024-02-28/28FEB24_TAC_FID_18.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.944,143.7963,28.697,0.0052,11,data/gc_data/2024-02-28/28FEB24_TAC_FID_18.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.796,133.0508,18.979,0.0170,11,data/gc_data/2024-02-28/28FEB24_TAC_FID_18.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.383,1569.7172,199.617,0.0601,12,data/gc_data/2024-02-28/28FEB24_TAC_FID_24.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.942,1627.3881,209.523,0.0590,12,data/gc_data/2024-02-28/28FEB24_TAC_FID_24.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.798,1326.0787,140.825,0.1698,12,data/gc_data/2024-02-28/28FEB24_TAC_FID_24.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.391,2144.5900,219.396,0.0821,13,data/gc_data/2024-02-28/28FEB24_TAC_FID_30.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.950,2239.9066,240.045,0.0812,13,data/gc_data/2024-02-28/28FEB24_TAC_FID_30.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.809,1807.0319,167.388,0.2314,13,data/gc_data/2024-02-28/28FEB24_TAC_FID_30.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.386,2126.8046,220.563,0.0814,14,data/gc_data/2024-02-28/28FEB24_TAC_FID_31.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.946,2221.6788,240.697,0.0805,14,data/gc_data/2024-02-28/28FEB24_TAC_FID_31.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.804,1784.2256,166.189,0.2285,14,data/gc_data/2024-02-28/28FEB24_TAC_FID_31.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.384,1583.5392,199.231,0.0606,15,data/gc_data/2024-02-28/28FEB24_TAC_FID_25.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.942,1642.4069,209.728,0.0595,15,data/gc_data/2024-02-28/28FEB24_TAC_FID_25.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.797,1336.4415,141.550,0.1712,15,data/gc_data/2024-02-28/28FEB24_TAC_FID_25.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.380,419.0045,91.690,0.0160,16,data/gc_data/2024-02-28/28FEB24_TAC_FID_19.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.940,426.7253,81.073,0.0155,16,data/gc_data/2024-02-28/28FEB24_TAC_FID_19.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.793,365.2345,49.925,0.0468,16,data/gc_data/2024-02-28/28FEB24_TAC_FID_19.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.380,1708.6201,242.218,0.0654,17,data/gc_data/2024-02-28/28FEB24_TAC_FID_33.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.939,1780.9425,248.764,0.0645,17,data/gc_data/2024-02-28/28FEB24_TAC_FID_33.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.794,1465.8182,161.466,0.1877,17,data/gc_data/2024-02-28/28FEB24_TAC_FID_33.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.395,1127.9414,217.437,0.0432,18,data/gc_data/2024-02-28/28FEB24_TAC_FID_27.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.955,1165.2852,205.961,0.0422,18,data/gc_data/2024-02-28/28FEB24_TAC_FID_27.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.809,965.5911,124.910,0.1237,18,data/gc_data/2024-02-28/28FEB24_TAC_FID_27.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.385,1110.1256,215.104,0.0425,19,data/gc_data/2024-02-28/28FEB24_TAC_FID_26.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.944,1145.9306,203.623,0.0415,19,data/gc_data/2024-02-28/28FEB24_TAC_FID_26.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.798,952.6175,124.351,0.1220,19,data/gc_data/2024-02-28/28FEB24_TAC_FID_26.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.375,3221.2020,446.820,0.1233,20,data/gc_data/2024-02-28/28FEB24_TAC_FID_32.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.931,3431.5685,490.741,0.1243,20,data/gc_data/2024-02-28/28FEB24_TAC_FID_32.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.782,2606.3266,290.687,0.3338,20,data/gc_data/2024-02-28/28FEB24_TAC_FID_32.RES,1pc_mix_1.0ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.366,383.6144,84.698,0.0147,21,data/gc_data/2024-02-28/28FEB24_TAC_FID_22.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.926,389.3119,74.354,0.0141,21,data/gc_data/2024-02-28/28FEB24_TAC_FID_22.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.778,339.5389,46.466,0.0435,21,data/gc_data/2024-02-28/28FEB24_TAC_FID_22.RES,blank,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.390,1549.4879,199.721,0.0593,22,data/gc_data/2024-02-28/28FEB24_TAC_FID_23.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.951,1605.4950,208.493,0.0582,22,data/gc_data/2024-02-28/28FEB24_TAC_FID_23.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.810,1312.5187,139.437,0.1681,22,data/gc_data/2024-02-28/28FEB24_TAC_FID_23.RES,1pc_mix_0.75ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,1.383,424.2682,92.743,0.0162,25,data/gc_data/2024-02-28/28FEB24_TAC_FID_20.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,1.943,431.6839,82.088,0.0156,25,data/gc_data/2024-02-28/28FEB24_TAC_FID_20.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,2.795,371.2912,50.800,0.0476,25,data/gc_data/2024-02-28/28FEB24_TAC_FID_20.RES,1pc_mix_0.25ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
