""	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"
"ASV_151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0
"ASV_152"	1	0	120	0	0	0	3	0	0	0	98	0	0	2	2	2	0	0	1	0	0	2	3	0	6	2	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_153"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	54	0	187	0	0	0	0	0	0	0	0
"ASV_154"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	1	0	1	0	1	0	0	43	26	20	2	1	15	3	4	4	35	6	11	2	40	4	4	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	9	0	0	0
"ASV_155"	0	1	70	0	1	0	7	0	1	10	149	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_156"	0	0	51	0	0	0	28	0	3	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_157"	3	7	37	6	0	0	15	0	6	0	14	0	10	32	27	0	1	61	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_158"	10	11	5	41	0	0	0	0	56	4	2	5	10	17	0	25	8	5	9	1	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_159"	0	0	48	1	0	0	91	1	1	0	62	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_160"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	63	0	3	0	102	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_161"	0	0	30	3	0	1	94	22	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	3	36	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0
"ASV_162"	0	0	126	0	0	0	1	0	0	0	88	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	2	0	0	0	0	0	0	0	0
"ASV_164"	1	0	25	1	28	0	29	29	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
"ASV_165"	0	0	11	3	0	0	0	0	85	0	41	1	0	2	1	36	11	5	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_166"	0	0	0	0	127	25	14	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_167"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	121	9	0	1	4	0	0	0	45	3	3	0	0	1	2	0	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0
"ASV_168"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	124	33	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_169"	2	0	0	0	5	1	0	5	0	0	0	0	0	42	0	0	12	0	20	0	0	0	1	0	20	0	0	0	1	0	0	1	0	5	0	1	0	2	14	0	8	9	0	0	5	0	0	0	17	3	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	7
"ASV_170"	2	0	9	5	0	1	21	12	9	12	85	2	2	6	0	12	0	2	6	4	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_171"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	169	0	0	0
"ASV_172"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	165	0	0	0	4
"ASV_173"	0	2	6	1	0	0	1	1	0	1	8	0	2	13	1	5	0	5	14	0	0	0	8	6	4	5	2	16	15	1	0	0	1	1	3	1	1	0	1	0	8	0	0	3	1	1	14	1	14	8	0	14	0	4	3	0	0	0	0	0	0	0	0	0	0	0
"ASV_174"	6	62	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	3	0	1	1	0	0	0	2	0	40	0	1	20	0	0	1	0	0	0	1	29	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_175"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	138	0	0	0	13	0	0	0	32	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_176"	2	6	17	5	0	2	45	0	29	19	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_177"	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	125	0	0	0	10	0	0	0	45	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_178"	0	1	12	2	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	50	0	1	2	53	1	3	3	35	6	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_179"	2	63	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	33	0	1	29	0	0	1	0	1	0	1	30	0	0	1	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_180"	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	29	0	126	0	12	5	0	0	0	0	1
"ASV_181"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	16	4	1	0	33	1	2	4	26	2	4	0	29	4	1	2	0	2	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	54	0	0	1	85	0	0	0	41	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_183"	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	10	0	37	0	3	6	34	2	3	2	36	2	1	2	0	3	2	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_184"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	125	0	0	0	0	0	0	0	46	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_185"	2	9	45	4	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	29	0	0	0	24	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ASV_186"	1	2	39	1	0	0	2	0	4	4	97	4	0	3	1	1	2	1	3	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_187"	0	0	17	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	77	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_188"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	1	0	0	2	0	0	2	29	1	3	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_189"	1	0	98	2	0	1	15	3	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_190"	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	11	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_191"	2	1	0	0	1	1	0	1	0	0	1	1	4	6	9	1	4	2	2	3	0	1	3	2	5	6	6	2	9	3	0	3	2	1	3	4	4	0	4	4	0	5	0	0	0	2	6	11	3	6	0	6	13	3	8	0	0	0	0	0	0	0	0	0	0	1
"ASV_192"	9	6	4	6	5	0	6	55	36	7	1	6	0	4	0	2	2	1	4	0	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_193"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	1	0	0	0	0	1
"ASV_194"	0	0	0	0	0	1	1	1	2	0	0	2	0	3	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	2	1	0	0	0	4	1	0	2	2	0	1	0	1	0	2	1	1	1	0	0	0	1	0	0	4	0	97	0	0	0	1	0	15	0	9
"ASV_195"	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	34	22	4	1	32	0	0	0	16	0	0	1	24	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_196"	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	28	1	0	0	0	0	114	0	0
"ASV_197"	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	46	0	0	0	40	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_198"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	152	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_199"	0	0	10	0	0	0	0	0	0	0	6	0	0	58	5	0	17	16	8	2	0	12	3	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
"ASV_200"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	96	0	0	0	0	0	0	0	2
"ASV_201"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	125	0	0	0	1	0	0	0	24	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	2	0	0	0	0	0	0	0	0
"ASV_203"	7	11	45	18	0	0	6	0	2	5	29	0	1	2	2	0	0	5	4	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_204"	1	6	41	13	0	0	1	0	2	0	28	0	1	5	5	24	1	4	3	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_205"	0	0	30	1	0	0	12	0	2	3	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_206"	0	1	12	0	1	3	38	24	0	0	14	0	0	1	0	4	0	1	1	2	0	2	1	0	1	2	0	1	3	1	2	2	1	0	1	3	0	1	0	5	5	1	1	3	0	2	0	0	1	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0
"ASV_207"	0	0	37	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_208"	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	2	1	2	0	0	0	0	0	0	1	0	1	1	2	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	20	0	0	1	0	0	95	0	0
"ASV_209"	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	49	0	0	0	56	0	0	0	28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_210"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	26	2	24	0	0	20	59	0	0	2
"ASV_211"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	95	0	0	0	0
"ASV_212"	0	1	56	0	0	0	19	2	0	0	36	0	4	1	2	0	0	10	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_213"	0	0	6	0	1	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	32	16	45	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"ASV_214"	3	7	43	6	0	0	1	0	1	0	38	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_215"	2	1	43	14	0	0	0	0	13	0	57	0	0	1	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_216"	1	10	2	17	0	0	0	0	65	12	9	8	1	3	2	4	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_217"	0	0	0	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	56	10	48	0	0	1	2
"ASV_218"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	55	37	0	0	0	33	0	3	1	0	0
"ASV_219"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	7	0	9	47	5	23	9	11	8	3	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
"ASV_220"	0	1	18	2	0	0	85	1	2	1	6	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	1	1	0	0	0	1	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_221"	0	0	0	0	1	0	1	3	9	0	0	1	3	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	2	0	3	2	21	11	4	3	14	1	0	3	14	1	1	4	1	1	1	0	7	4	0	8	0	0	0	0	0	0	0	0	0	0	0
"ASV_222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	130	0	0
"ASV_223"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	66	0	0	0	23	1	0	0	34	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_224"	0	0	18	0	0	0	88	10	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"ASV_225"	23	11	12	38	0	0	11	0	16	3	7	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_226"	5	13	10	1	1	0	11	5	0	0	6	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0	15	18	7	0	0	3	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_227"	1	0	31	0	8	0	4	6	2	1	23	0	4	10	5	6	1	8	5	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_228"	82	0	0	2	25	8	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_229"	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	31	0	0	0	0	57
"ASV_230"	22	20	2	4	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	2	5	3	15	3	18	1	4	3	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_231"	0	18	3	9	0	0	0	0	30	32	5	14	0	0	2	0	0	1	0	3	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_232"	4	1	0	0	0	0	0	5	0	0	0	2	13	0	1	0	3	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	2	1	1	2	3	5	5	9	14	0	4	3	8	4	11	0	0	0	0	0	0	0	0	0	0	0
"ASV_233"	1	2	13	0	0	0	14	0	2	0	23	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	13	8	8	0	0	13	0	0	1	3	0	1	0	6	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_234"	2	3	21	3	0	0	13	2	1	0	52	2	0	0	0	4	1	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_235"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	94	0	1	0	0	0	0	0	3	10	4
"ASV_236"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	39	0	3	2	28	10	1	0	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_237"	2	4	0	1	1	2	6	5	21	22	5	1	1	0	1	1	0	2	1	1	1	0	0	1	0	0	1	0	0	1	0	2	1	0	0	2	2	1	7	3	2	0	4	2	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ASV_238"	2	1	19	3	1	0	3	2	0	6	5	2	4	8	0	2	10	9	2	0	1	1	3	1	0	0	3	0	0	1	0	0	2	0	0	3	1	2	0	1	0	1	0	2	0	1	1	0	1	1	3	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
"ASV_239"	1	0	41	2	0	0	6	0	0	0	59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_240"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	9	1	0	27	0	0	0	34	0	1	1	29	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_241"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	97	0	0	0	0	4	0	0	0
"ASV_242"	0	0	8	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	37	0	0	0	25	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
