""	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"
"ASV_32"	0	0	1	0	160	55	0	149	0	6	2	24	158	53	71	0	25	171	48	3	0	101	1	0	1	1	0	0	0	0	29	124	26	9	12	83	439	26	26	62	33	16	24	60	20	82	68	68	366	232	23	48	65	119	413	0	0	0	0	0	0	0	0	1	0	1
"ASV_33"	2	3	292	1	1	0	83	5	5	0	179	2	11	73	25	0	4	35	53	2	1	4	41	8	3	7	2	19	9	13	6	4	4	55	66	616	19	13	2	1342	19	1	4	244	1	1	32	11	36	0	4	30	31	10	19	0	1	0	7	2	0	0	1	0	0	0
"ASV_34"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1315	43	2096	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_35"	1	0	247	0	1	0	3	1	0	0	13	0	0	0	4	34	0	5	3	91	4	101	2	0	3	2	1	4	3	1	2	1	1	45	18	1244	10	18	12	566	31	65	23	540	47	34	9	8	40	7	6	3	12	30	45	0	0	0	0	0	0	0	0	0	0	28
"ASV_36"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	136	166	130	68	5	79	173	270	45	32	45	13	3	305	0	21	2	512	0	1	0	175	5	98	83	28	380	343	3	25	3	51	137	0	0	0	0	1	0	0	0	0	0	0
"ASV_37"	23	38	9	46	32	42	14	52	54	95	25	61	47	53	72	49	67	59	65	51	57	49	40	59	60	70	58	50	53	65	29	21	33	37	39	19	51	56	76	18	43	70	49	14	67	69	69	40	57	51	38	56	50	43	69	0	0	2	0	0	0	0	0	0	0	73
"ASV_38"	83	170	128	295	1	1	119	23	223	233	89	6	67	280	108	27	115	156	78	111	12	17	82	25	54	14	13	36	31	37	0	0	0	0	7	5	7	11	0	0	1	1	0	7	7	0	1	0	3	1	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_39"	0	0	13	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	486	1295	705	0	0	54	1	0	0	4	0	0	0	23	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_40"	103	213	660	204	0	0	33	0	214	170	624	9	13	9	15	10	5	5	19	5	17	7	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_41"	126	0	2	49	55	18	1	0	96	143	0	32	10	4	22	1	11	27	8	3	0	0	36	7	58	15	7	1	37	12	0	0	0	45	107	0	113	24	8	6	126	14	15	0	67	126	83	87	89	125	27	40	167	150	87	0	0	0	0	1	0	0	0	0	0	0
