"","depth_m","cond_uscm","temp_C","direction"
"270",23.21,445.2,34.16,"Descending"
"271",23.4,445.4,34.16,"Descending"
"272",23.58,445.2,34.16,"Descending"
"273",23.76,445.4,34.16,"Descending"
"274",23.96,445.2,34.17,"Descending"
"275",24.13,445.4,34.17,"Descending"
"276",24.3,445.2,34.17,"Descending"
"277",24.48,445.2,34.17,"Descending"
"278",24.69,445.5,34.17,"Descending"
"279",24.86,445.1,34.17,"Descending"
"280",25.01,444.9,34.18,"Descending"
"281",25.15,445.1,34.18,"Descending"
"282",25.29,445.2,34.18,"Descending"
"283",25.41,445.4,34.18,"Descending"
"284",25.55,445.4,34.18,"Descending"
"285",25.66,445.5,34.18,"Descending"
"286",25.77,445.2,34.18,"Descending"
"287",25.81,445.2,34.18,"Descending"
"288",25.88,444.9,34.18,"Descending"
"289",25.98,445,34.19,"Descending"
"290",26.12,445,34.18,"Descending"
"291",26.21,445.2,34.19,"Descending"
"292",26.2,444.9,34.19,"Descending"
"293",26.22,445.2,34.19,"Descending"
"294",26.27,445.2,34.18,"Descending"
"295",26.31,445.3,34.19,"Descending"
"296",26.4,445.2,34.18,"Descending"
"297",26.53,445.5,34.19,"Descending"
"298",26.67,445.3,34.19,"Descending"
"299",26.81,445.6,34.19,"Descending"
"300",26.91,445.1,34.19,"Descending"
"301",26.98,445.2,34.19,"Descending"
"302",27.1,445.2,34.19,"Descending"
"303",27.18,445.3,34.19,"Descending"
"304",27.33,445.4,34.19,"Descending"
"305",27.55,445.6,34.19,"Descending"
"306",27.81,445.6,34.19,"Descending"
"307",28.02,445.2,34.19,"Descending"
"308",28.15,445.4,34.2,"Descending"
"309",28.34,445.4,34.2,"Descending"
"310",28.53,445.5,34.2,"Descending"
"311",28.68,445.4,34.2,"Descending"
"312",28.87,445.5,34.2,"Descending"
"313",29.05,445.6,34.2,"Descending"
"314",29.27,445.6,34.21,"Descending"
"315",29.45,445.5,34.21,"Descending"
"316",29.61,445.4,34.21,"Descending"
"317",29.77,445.4,34.21,"Descending"
"318",29.91,445.9,34.21,"Descending"
"319",30.07,446.4,34.21,"Descending"
"320",30.2,446.5,34.21,"Descending"
"321",30.39,446.7,34.21,"Descending"
"322",30.54,446.9,34.21,"Descending"
"323",30.7,446.9,34.22,"Descending"
"324",30.9,447.1,34.22,"Descending"
"325",30.95,447,34.21,"Descending"
"326",31.04,447.2,34.22,"Descending"
"327",31.26,447.5,34.22,"Descending"
"328",31.44,447.6,34.22,"Descending"
"329",31.59,447.7,34.22,"Descending"
"330",31.74,447.8,34.22,"Descending"
"331",31.78,447.6,34.22,"Descending"
"332",32.11,447.6,34.22,"Descending"
"333",32.09,447.5,34.22,"Descending"
"334",32.35,447.7,34.22,"Descending"
"335",32.6,447.7,34.23,"Descending"
"336",32.9,447.6,34.23,"Descending"
"337",33.23,447.6,34.23,"Descending"
"338",33.38,447.6,34.23,"Descending"
"339",33.59,447.6,34.24,"Descending"
"340",33.82,447.9,34.23,"Descending"
"341",33.98,447.8,34.24,"Descending"
"342",34.16,447.9,34.24,"Descending"
"343",34.4,448,34.24,"Descending"
"344",34.63,448,34.24,"Descending"
"345",34.8,448,34.24,"Descending"
"346",34.93,448,34.24,"Descending"
"347",35.1,448.1,34.24,"Descending"
"348",35.33,447.9,34.24,"Descending"
"349",35.6,445.1,34.24,"Descending"
"350",35.79,442.8,34.25,"Descending"
"351",35.97,441.1,34.25,"Descending"
"352",36.14,440.6,34.25,"Descending"
"353",36.33,439.5,34.25,"Descending"
"354",36.54,437.2,34.25,"Descending"
"355",36.75,435.8,34.25,"Descending"
"356",36.78,434.7,34.26,"Descending"
"357",36.86,433.7,34.26,"Descending"
"358",37.01,433.9,34.25,"Descending"
"359",37.15,433.7,34.25,"Descending"
"360",37.38,432.9,34.26,"Descending"
"361",37.57,433,34.26,"Descending"
"362",37.8,432.8,34.26,"Descending"
"363",38.08,436.3,34.26,"Descending"
"364",38.35,445.3,34.26,"Descending"
"365",38.49,450.8,34.27,"Descending"
"366",38.66,452,34.27,"Descending"
"367",38.75,453.2,34.26,"Descending"
"368",38.98,454,34.27,"Descending"
"369",39.2,454.7,34.27,"Descending"
"370",39.37,455.7,34.27,"Descending"
"371",39.5,455.9,34.27,"Descending"
"372",39.71,456.3,34.27,"Descending"
"373",39.98,456.3,34.27,"Descending"
"374",40.23,456.5,34.27,"Descending"
"375",40.41,456.7,34.28,"Descending"
"376",40.64,456.7,34.28,"Descending"
"377",40.84,456.5,34.28,"Descending"
"378",40.87,456.6,34.28,"Descending"
"379",40.95,456.7,34.28,"Descending"
"380",41.04,456.6,34.28,"Descending"
"381",41.25,456.5,34.28,"Descending"
"382",41.49,456.4,34.28,"Descending"
"383",41.75,456,34.28,"Descending"
"384",41.83,457.6,34.29,"Descending"
"385",41.98,460.4,34.29,"Descending"
"386",42,474.4,34.29,"Descending"
"387",42.08,475.4,34.29,"Descending"
"388",42.28,486,34.29,"Descending"
"389",42.48,487.4,34.29,"Descending"
"390",42.65,489.5,34.29,"Descending"
"391",42.74,494.3,34.29,"Descending"
"392",43.03,494.9,34.29,"Descending"
"393",43.32,495.5,34.29,"Descending"
"394",43.53,495.7,34.29,"Descending"
"395",43.7,495.6,34.3,"Descending"
