"","depth_m","cond_uscm","pH","temp_C","direction"
"1759",280.67,6113,11.54,42.42,"Descending"
"1760",280.86,6114,11.53,42.42,"Descending"
"1761",280.94,6114,11.53,42.42,"Descending"
"1762",281.05,6113,11.54,42.43,"Descending"
"1763",281.15,6113,11.54,42.43,"Descending"
"1764",281.26,6114,11.55,42.43,"Descending"
"1765",281.32,6114,11.54,42.44,"Descending"
"1766",281.44,6114,11.55,42.44,"Descending"
"1767",281.61,6112,11.55,42.44,"Descending"
"1768",281.82,6115,11.56,42.45,"Descending"
"1769",281.99,6116,11.55,42.45,"Descending"
"1770",282.16,6115,11.55,42.46,"Descending"
"1771",282.4,6119,11.55,42.46,"Descending"
"1772",282.51,6114,11.54,42.46,"Descending"
"1773",282.59,6117,11.54,42.47,"Descending"
"1774",282.73,6118,11.54,42.47,"Descending"
"1775",282.88,6117,11.54,42.47,"Descending"
"1776",283.02,6115,11.53,42.48,"Descending"
"1777",283.19,6116,11.55,42.48,"Descending"
"1778",283.32,6119,11.53,42.49,"Descending"
"1779",283.45,6117,11.54,42.49,"Descending"
"1780",283.56,6117,11.54,42.49,"Descending"
"1781",283.71,6118,11.54,42.5,"Descending"
"1782",283.85,6119,11.54,42.51,"Descending"
"1783",284,6118,11.54,42.5,"Descending"
"1784",284.16,6119,11.55,42.51,"Descending"
"1785",284.31,6120,11.55,42.51,"Descending"
"1786",284.49,6119,11.54,42.52,"Descending"
"1787",284.6,6119,11.54,42.52,"Descending"
"1788",284.7,6121,11.55,42.52,"Descending"
"1789",284.78,6119,11.54,42.53,"Descending"
"1790",284.85,6119,11.54,42.53,"Descending"
"1791",284.95,6121,11.55,42.53,"Descending"
"1792",285.12,6121,11.55,42.54,"Descending"
"1793",285.31,6119,11.55,42.54,"Descending"
"1794",285.35,6116,11.55,42.54,"Descending"
"1795",285.36,6114,11.55,42.54,"Descending"
"1796",285.36,6114,11.54,42.54,"Descending"
"1797",285.36,6116,11.54,42.54,"Descending"
"1798",285.36,6112,11.54,42.54,"Descending"
"1799",285.36,6115,11.54,42.54,"Descending"
"1800",285.36,6115,11.54,42.54,"Descending"
"1801",285.36,6114,11.54,42.54,"Descending"
"1802",285.36,6115,11.54,42.54,"Descending"
"1803",285.36,6113,11.54,42.55,"Descending"
"1804",285.36,6115,11.54,42.55,"Descending"
"1805",285.37,6112,11.55,42.55,"Descending"
"1806",285.36,6114,11.54,42.55,"Descending"
"1807",285.36,6114,11.54,42.55,"Descending"
"1808",285.36,6114,11.54,42.55,"Descending"
"1809",285.37,6115,11.54,42.55,"Descending"
"1810",285.36,6112,11.54,42.55,"Descending"
"1811",285.36,6115,11.53,42.55,"Descending"
"1812",285.36,6114,11.54,42.55,"Descending"
"1813",285.37,6113,11.54,42.55,"Descending"
"1814",285.36,6111,11.54,42.55,"Descending"
"1815",285.35,6114,11.54,42.55,"Descending"
"1816",285.36,6114,11.53,42.56,"Descending"
"1817",285.36,6112,11.53,42.55,"Descending"
"1818",285.35,6112,11.54,42.55,"Descending"
"1819",285.36,6113,11.54,42.55,"Descending"
"1820",285.37,6115,11.54,42.55,"Descending"
"1821",285.37,6112,11.53,42.55,"Descending"
"1822",285.37,6114,11.53,42.55,"Descending"
"1823",285.36,6114,11.53,42.55,"Descending"
"1824",285.36,6114,11.53,42.56,"Descending"
"1825",285.36,6111,11.53,42.55,"Descending"
"1826",285.36,6112,11.53,42.55,"Descending"
"1827",285.36,6114,11.54,42.55,"Descending"
"1828",285.36,6110,11.53,42.55,"Descending"
"1829",285.35,6113,11.53,42.55,"Descending"
"1830",285.36,6113,11.53,42.55,"Descending"
"1831",285.36,6113,11.53,42.55,"Descending"
"1832",285.36,6112,11.53,42.56,"Descending"
"1833",285.36,6112,11.53,42.55,"Descending"
"1834",285.36,6114,11.53,42.55,"Descending"
"1835",285.36,6112,11.52,42.55,"Descending"
"1836",285.36,6112,11.52,42.56,"Descending"
"1837",285.36,6113,11.53,42.56,"Descending"
"1838",285.35,6112,11.53,42.55,"Descending"
"1839",285.36,6114,11.52,42.55,"Descending"
"1840",285.37,6111,11.53,42.55,"Descending"
"1841",285.36,6114,11.53,42.55,"Descending"
"1842",285.37,6111,11.52,42.56,"Descending"
"1843",285.36,6113,11.52,42.55,"Descending"
"1844",285.35,6112,11.53,42.56,"Descending"
"1845",285.37,6113,11.52,42.55,"Descending"
"1846",285.36,6112,11.53,42.55,"Descending"
"1847",285.36,6111,11.52,42.56,"Descending"
"1848",285.36,6113,11.52,42.55,"Descending"
"1849",285.36,6111,11.52,42.55,"Descending"
"1850",285.36,6113,11.52,42.55,"Descending"
"1851",285.36,6112,11.52,42.55,"Descending"
"1852",285.36,6113,11.52,42.55,"Descending"
"1853",285.37,6113,11.52,42.56,"Descending"
"1854",285.36,6113,11.52,42.55,"Descending"
"1855",285.36,6112,11.52,42.55,"Descending"
"1856",285.36,6112,11.52,42.55,"Descending"
"1857",285.36,6114,11.52,42.55,"Descending"
"1858",285.36,6113,11.53,42.55,"Descending"
"1859",285.37,6112,11.52,42.55,"Descending"
"1860",285.36,6112,11.52,42.55,"Descending"
"1861",285.36,6113,11.52,42.55,"Descending"
"1862",285.36,6113,11.52,42.55,"Descending"
"1863",285.36,6113,11.52,42.56,"Descending"
"1864",285.36,6114,11.52,42.55,"Descending"
"1865",285.37,6112,11.52,42.55,"Descending"
"1866",285.36,6112,11.52,42.55,"Descending"
"1867",285.36,6112,11.52,42.55,"Descending"
"1868",285.36,6114,11.52,42.55,"Descending"
"1869",285.36,6111,11.52,42.55,"Descending"
"1870",285.36,6112,11.52,42.55,"Descending"
"1871",285.36,6112,11.52,42.55,"Descending"
"1872",285.36,6111,11.52,42.55,"Descending"
"1873",285.36,6113,11.52,42.55,"Descending"
"1874",285.36,6111,11.52,42.55,"Descending"
"1875",285.36,6113,11.52,42.55,"Descending"
"1876",285.36,6113,11.52,42.55,"Descending"
"1877",285.36,6112,11.52,42.55,"Descending"
"1878",285.36,6112,11.52,42.55,"Descending"
"1879",285.35,6112,11.52,42.55,"Descending"
"1880",285.36,6111,11.52,42.55,"Descending"
"1881",285.36,6113,11.52,42.55,"Descending"
"1882",285.37,6112,11.52,42.55,"Descending"
"1883",285.36,6111,11.52,42.55,"Descending"
"1884",285.36,6111,11.52,42.55,"Descending"
"1885",285.37,6113,11.51,42.55,"Descending"
"1886",285.36,6111,11.52,42.55,"Descending"
"1887",285.36,6114,11.52,42.55,"Descending"
"1888",285.36,6111,11.51,42.55,"Descending"
"1889",285.35,6110,11.52,42.55,"Descending"
"1890",285.36,6114,11.52,42.55,"Descending"
"1891",285.36,6112,11.52,42.55,"Descending"
"1892",285.37,6114,11.52,42.55,"Descending"
"1893",285.37,6112,11.52,42.55,"Descending"
"1894",285.36,6111,11.52,42.55,"Descending"
"1895",285.36,6113,11.52,42.55,"Descending"
"1896",285.36,6111,11.52,42.55,"Descending"
"1897",285.36,6112,11.51,42.55,"Descending"
"1898",285.36,6113,11.51,42.55,"Descending"
"1899",285.36,6112,11.52,42.55,"Descending"
"1900",285.36,6112,11.52,42.55,"Descending"
"1901",285.36,6111,11.51,42.55,"Descending"
"1902",285.36,6113,11.52,42.55,"Descending"
"1903",285.36,6114,11.52,42.55,"Descending"
"1904",285.37,6112,11.52,42.55,"Descending"
"1905",285.37,6111,11.52,42.55,"Descending"
"1906",285.36,6111,11.52,42.55,"Descending"
"1907",285.37,6110,11.52,42.55,"Descending"
"1908",285.36,6112,11.52,42.55,"Descending"
"1909",285.36,6112,11.51,42.55,"Descending"
"1910",285.36,6112,11.52,42.55,"Descending"
"1911",285.37,6112,11.51,42.55,"Descending"
"1912",285.36,6112,11.52,42.55,"Descending"
"1913",285.36,6112,11.51,42.55,"Descending"
"1914",285.36,6111,11.51,42.55,"Descending"
"1915",285.37,6112,11.52,42.55,"Descending"
"1916",285.37,6111,11.52,42.55,"Descending"
"1917",285.37,6112,11.52,42.55,"Descending"
"1918",285.36,6112,11.52,42.55,"Descending"
"1919",285.36,6113,11.51,42.55,"Descending"
"1920",285.36,6111,11.51,42.55,"Descending"
"1921",285.36,6112,11.51,42.55,"Descending"
"1922",285.36,6112,11.51,42.55,"Descending"
"1923",285.36,6112,11.51,42.55,"Descending"
"1924",285.37,6110,11.52,42.55,"Descending"
"1925",285.36,6112,11.52,42.55,"Descending"
"1926",285.36,6112,11.51,42.55,"Descending"
"1927",285.36,6112,11.52,42.55,"Descending"
"1928",285.37,6110,11.51,42.55,"Descending"
"1929",285.36,6112,11.51,42.55,"Descending"
"1930",285.36,6112,11.51,42.55,"Descending"
"1931",285.36,6112,11.52,42.55,"Descending"
"1932",285.36,6112,11.51,42.55,"Descending"
"1933",285.36,6112,11.52,42.55,"Descending"
"1934",285.36,6110,11.51,42.55,"Descending"
"1935",285.37,6112,11.52,42.56,"Descending"
"1936",285.37,6110,11.51,42.55,"Descending"
"1937",285.37,6113,11.52,42.55,"Descending"
"1938",285.37,6110,11.51,42.55,"Descending"
"1939",285.37,6113,11.51,42.55,"Descending"
"1940",285.36,6110,11.52,42.55,"Descending"
"1941",285.36,6114,11.52,42.55,"Descending"
"1942",285.36,6112,11.52,42.55,"Descending"
"1943",285.37,6114,11.52,42.55,"Descending"
"1944",285.36,6111,11.51,42.55,"Descending"
"1945",285.36,6112,11.52,42.55,"Descending"
"1946",285.36,6110,11.51,42.55,"Descending"
"1947",285.37,6112,11.51,42.55,"Descending"
"1948",285.36,6110,11.51,42.55,"Descending"
"1949",285.36,6109,11.52,42.55,"Descending"
"1950",285.37,6110,11.5,42.55,"Descending"
"1951",285.36,6112,11.52,42.55,"Descending"
"1952",285.36,6113,11.52,42.55,"Descending"
"1953",285.37,6112,11.51,42.55,"Descending"
"1954",285.36,6110,11.51,42.55,"Descending"
"1955",285.37,6109,11.52,42.55,"Descending"
"1956",285.37,6111,11.52,42.55,"Descending"
"1957",285.37,6111,11.53,42.55,"Descending"
"1958",285.37,6110,11.51,42.55,"Descending"
"1959",285.37,6112,11.51,42.55,"Descending"
"1960",285.37,6110,11.52,42.55,"Descending"
