"","depth_m","cond_uscm","pH","temp_C","direction"
"182",40.25,480.2,7.06,34.26,"Descending"
"183",40.24,480.2,7.06,34.26,"Descending"
"184",40.25,480.1,7.06,34.26,"Descending"
"185",40.24,480.2,7.06,34.26,"Descending"
"186",40.24,480.2,7.06,34.26,"Descending"
"187",40.24,480.2,7.06,34.26,"Descending"
"188",40.24,480.2,7.06,34.27,"Descending"
"189",40.24,480.2,7.06,34.27,"Descending"
"190",40.24,480.2,7.06,34.27,"Descending"
"191",40.24,480.2,7.06,34.27,"Descending"
"192",40.25,480.2,7.06,34.27,"Descending"
"193",40.24,480.2,7.06,34.27,"Descending"
"194",40.24,480.2,7.06,34.27,"Descending"
"195",40.24,480.3,7.06,34.27,"Descending"
"196",40.25,480.3,7.06,34.27,"Descending"
"197",40.24,480.3,7.06,34.27,"Descending"
"198",40.17,480.6,7.06,34.27,"Descending"
"199",39.91,480.5,7.06,34.27,"Descending"
"200",40.14,480.2,7.06,34.27,"Descending"
"201",40.34,480.3,7.06,34.27,"Descending"
"202",40.53,480.4,7.06,34.27,"Descending"
"203",40.73,480.3,7.06,34.27,"Descending"
"204",40.93,480.4,7.06,34.28,"Descending"
"205",41.15,480.5,7.06,34.28,"Descending"
"206",41.36,480.3,7.06,34.28,"Descending"
"207",41.58,480.4,7.06,34.29,"Descending"
"208",41.81,480.5,7.06,34.29,"Descending"
"209",42.02,480.4,7.06,34.29,"Descending"
"210",42.26,480.4,7.06,34.29,"Descending"
"211",42.48,480.3,7.05,34.3,"Descending"
"212",42.72,480.3,7.06,34.3,"Descending"
"213",42.92,480.3,7.06,34.3,"Descending"
"214",43.13,480.2,7.06,34.31,"Descending"
"215",43.34,480.2,7.06,34.31,"Descending"
"216",43.52,480.2,7.06,34.31,"Descending"
"217",43.53,480.2,7.06,34.32,"Descending"
"218",43.55,480.3,7.06,34.32,"Descending"
"219",43.52,480.2,7.06,34.32,"Descending"
"220",43.54,480.3,7.06,34.32,"Descending"
"221",43.55,480.2,7.05,34.32,"Descending"
"222",43.54,480.3,7.05,34.32,"Descending"
"223",43.54,480.2,7.06,34.32,"Descending"
"224",43.54,480.3,7.06,34.32,"Descending"
"225",43.54,480.2,7.06,34.32,"Descending"
"226",43.54,480.2,7.06,34.32,"Descending"
"227",43.53,480.3,7.06,34.33,"Descending"
"228",43.46,480.4,7.06,34.33,"Descending"
"229",43.12,480.3,7.06,34.32,"Descending"
"230",43.32,480.3,7.05,34.32,"Descending"
"231",43.48,480.3,7.06,34.33,"Descending"
"232",43.61,480.3,7.06,34.33,"Descending"
"233",43.8,480.3,7.06,34.33,"Descending"
"234",44.04,480.3,7.06,34.33,"Descending"
"235",44.3,480.2,7.06,34.34,"Descending"
"236",44.51,480.1,7.06,34.34,"Descending"
"237",44.75,480.2,7.05,34.34,"Descending"
"238",44.99,480.3,7.06,34.35,"Descending"
"239",45.1,480.7,7.06,34.35,"Descending"
"240",45.33,479.9,7.05,34.35,"Descending"
"241",45.56,480,7.06,34.35,"Descending"
"242",45.66,480.1,7.05,34.36,"Descending"
"243",45.85,479.9,7.06,34.36,"Descending"
"244",46.02,479.9,7.06,34.36,"Descending"
"245",46.03,480.1,7.05,34.37,"Descending"
"246",46.02,480.1,7.06,34.37,"Descending"
"247",46.03,480.1,7.06,34.37,"Descending"
"248",46.02,480,7.06,34.37,"Descending"
"249",46.02,480,7.05,34.37,"Descending"
"250",46.03,480,7.06,34.37,"Descending"
"251",46.01,480.1,7.06,34.37,"Descending"
"252",46.01,480.1,7.06,34.37,"Descending"
"253",46,480.1,7.06,34.37,"Descending"
"254",45.99,480.1,7.06,34.37,"Descending"
"255",46,480.1,7.06,34.37,"Descending"
"256",46,480.1,7.06,34.37,"Descending"
"257",46.01,480.1,7.05,34.37,"Descending"
"258",46,480.1,7.06,34.38,"Descending"
"259",46.01,480.1,7.06,34.38,"Descending"
"260",46,480.1,7.06,34.37,"Descending"
"261",46.01,480.1,7.06,34.38,"Descending"
"262",46,480.2,7.05,34.38,"Descending"
"263",46.01,480.1,7.05,34.38,"Descending"
"264",45.95,480.1,7.06,34.38,"Descending"
"265",45.86,479.9,7.06,34.38,"Descending"
"266",46.03,479.9,7.05,34.38,"Descending"
"267",46.12,479.8,7.05,34.38,"Descending"
"268",45.94,480.1,7.06,34.38,"Descending"
"269",45.58,480,7.05,34.38,"Descending"
"270",45.67,479.9,7.05,34.38,"Descending"
"271",45.81,479.9,7.05,34.38,"Descending"
"272",46,479.9,7.05,34.38,"Descending"
"273",46.16,479.9,7.05,34.38,"Descending"
"274",46.39,479.7,7.05,34.38,"Descending"
"275",46.6,479.7,7.05,34.38,"Descending"
"276",46.81,479.6,7.05,34.39,"Descending"
"277",46.94,479.7,7.05,34.39,"Descending"
"278",47.12,479.5,7.05,34.39,"Descending"
"279",47.31,479.4,7.05,34.4,"Descending"
"280",47.57,479.3,7.05,34.4,"Descending"
"281",47.77,479.2,7.05,34.4,"Descending"
"282",47.83,479.1,7.04,34.4,"Descending"
"283",47.88,479.1,7.05,34.41,"Descending"
"284",47.88,479.1,7.05,34.41,"Descending"
"285",47.86,479.1,7.05,34.41,"Descending"
"286",47.87,479.1,7.05,34.41,"Descending"
"287",47.9,479.1,7.05,34.41,"Descending"
"288",47.89,479.6,7.05,34.41,"Descending"
"289",47.91,479.4,7.05,34.41,"Descending"
"290",47.91,479.3,7.05,34.41,"Descending"
"291",47.91,479.4,7.05,34.41,"Descending"
"292",47.9,479.4,7.06,34.42,"Descending"
"293",47.89,479.4,7.06,34.41,"Descending"
"294",47.9,479.4,7.05,34.42,"Descending"
"295",47.88,479.4,7.05,34.42,"Descending"
"296",47.88,479.4,7.05,34.41,"Descending"
"297",47.89,479.4,7.05,34.42,"Descending"
"298",47.87,479.4,7.05,34.42,"Descending"
"299",47.88,479.4,7.06,34.42,"Descending"
"300",47.73,480,7.06,34.42,"Descending"
"301",47.35,480.8,7.06,34.42,"Descending"
"302",47.23,479.6,7.06,34.42,"Descending"
"303",47.42,479.5,7.06,34.42,"Descending"
"304",47.63,479.3,7.06,34.42,"Descending"
"305",47.89,479.3,7.06,34.42,"Descending"
"306",48.11,479.2,7.06,34.42,"Descending"
"307",48.32,479.3,7.07,34.42,"Descending"
"308",48.51,479,7.07,34.43,"Descending"
"309",48.73,478.8,7.06,34.43,"Descending"
"310",48.96,478.8,7.06,34.43,"Descending"
"311",49.19,478.7,7.07,34.43,"Descending"
"312",49.41,478.5,7.07,34.44,"Descending"
"313",49.66,478.2,7.07,34.44,"Descending"
"314",49.85,478.4,7.06,34.44,"Descending"
"315",50.06,477.9,7.06,34.45,"Descending"
"316",50.14,478.3,7.06,34.45,"Descending"
"317",50.12,478.6,7.06,34.45,"Descending"
"318",50.12,478.8,7.06,34.45,"Descending"
"319",50.14,478.8,7.06,34.45,"Descending"
"320",50.13,478.8,7.06,34.46,"Descending"
"321",50.12,478.8,7.06,34.46,"Descending"
"322",50.11,478.9,7.06,34.46,"Descending"
"323",50.11,478.8,7.06,34.46,"Descending"
"324",50.09,478.7,7.06,34.46,"Descending"
"325",50.1,478.8,7.06,34.46,"Descending"
"326",50.05,478.6,7.06,34.46,"Descending"
"327",49.75,478,7.06,34.46,"Descending"
"328",49.76,478,7.06,34.46,"Descending"
"329",49.95,478.2,7.06,34.46,"Descending"
"330",50.11,478,7.06,34.46,"Descending"
"331",50.27,478,7.06,34.46,"Descending"
"332",50.51,477.7,7.06,34.47,"Descending"
"333",50.75,477.5,7.06,34.47,"Descending"
"334",50.93,477.5,7.06,34.47,"Descending"
"335",51.12,478.5,7.06,34.48,"Descending"
"336",51.36,477,7.06,34.48,"Descending"
"337",51.54,476.3,7.06,34.48,"Descending"
"338",51.79,476.7,7.06,34.48,"Descending"
"339",51.99,476.8,7.06,34.49,"Descending"
"340",52.23,476.2,7.06,34.49,"Descending"
"341",52.53,476.4,7.06,34.5,"Descending"
"342",52.51,475.8,7.06,34.5,"Descending"
